CustomerID,Country,Recency,Frequency,Monetary,AOV,NumItems,NumProducts,Tenure,AvgInterpurchase,R_score,F_score,M_score,RFM_Segment,KMeans_Cluster,Cluster_Label,Churn_real,Churn_prob,Churn_pred,Status_Risc
12394,Belgium,33,1,351.08,351.08,180,20,33,33.0,4,1,2,New Customers,0,Occasional,0,0.3936,0,Medium Risk
12395,Belgium,28,9,3258.36,362.04,3084,116,419,46.6,5,5,5,Champions,1,VIP,0,0.0465,0,Low Risk
12396,RSA,490,1,931.43,931.43,591,65,490,490.0,1,1,3,Hibernating / Lost,2,Mid-Value,1,0.798,1,High Risk
12399,Belgium,30,5,1532.6000000000001,306.52,1872,54,461,92.2,4,4,4,Champions,3,High-Value,0,0.1645,0,Low Risk
12400,Australia,230,1,205.25,205.25,91,11,230,230.0,2,1,1,Hibernating / Lost,0,Occasional,1,0.5466,1,Medium Risk
12401,Belgium,119,1,69.3,69.3,10,4,119,119.0,3,1,1,Potential Loyalist,0,Occasional,1,0.7962,1,High Risk
12402,Belgium,139,6,1136.9,189.48,576,42,487,81.2,3,4,4,Loyal Customers,3,High-Value,1,0.5435,1,Medium Risk
12403,Denmark,338,1,555.6600000000001,555.66,162,3,338,338.0,1,1,3,Hibernating / Lost,2,Mid-Value,0,0.6258,1,Medium Risk
12406,Denmark,0,4,4596.31,1149.08,2391,81,513,128.2,5,3,5,Loyal Customers,3,High-Value,0,0.3386,0,Medium Risk
12407,Belgium,52,2,450.96,225.48,416,22,80,40.0,4,2,2,New Customers,0,Occasional,0,0.37,0,Medium Risk
12408,Belgium,76,5,2049.81,409.96,1160,65,314,62.8,4,4,4,Champions,3,High-Value,0,0.174,0,Low Risk
12409,Switzerland,237,4,12346.619999999999,3086.66,7592,125,381,95.2,2,3,5,At Risk,3,High-Value,0,0.5841,1,Medium Risk
12410,Switzerland,125,3,773.71,257.9,335,35,318,106.0,3,3,3,Loyal Customers,3,High-Value,1,0.5202,1,Medium Risk
12411,Australia,226,1,346.9,346.9,138,22,226,226.0,2,1,2,Hibernating / Lost,0,Occasional,1,0.8283,1,High Risk
12412,Denmark,218,3,1262.05,420.68,1162,49,355,118.3,2,3,4,At Risk,3,High-Value,0,0.5474,1,Medium Risk
12413,France,52,3,695.25,231.75,233,36,218,72.7,4,3,3,Loyal Customers,3,High-Value,0,0.4993,0,Medium Risk
12414,Austria,33,4,532.41,133.1,489,19,280,70.0,4,3,2,Loyal Customers,3,High-Value,1,0.4659,0,Medium Risk
12415,Australia,19,10,70002.74,7000.27,46068,293,344,34.4,5,5,5,Champions,1,VIP,0,0.0701,0,Low Risk
12416,Australia,473,1,202.56,202.56,132,11,473,473.0,1,1,1,Hibernating / Lost,2,Mid-Value,1,0.8916,1,High Risk
12417,Belgium,3,16,4456.08,278.5,1996,209,550,34.4,5,5,5,Champions,1,VIP,0,0.0237,0,Low Risk
12418,Switzerland,230,3,1352.62,450.87,681,61,446,148.7,2,3,4,At Risk,3,High-Value,0,0.5588,1,Medium Risk
12419,Spain,202,2,391.01,195.5,227,22,230,115.0,2,2,2,Hibernating / Lost,0,Occasional,1,0.8172,1,High Risk
12421,Spain,135,3,365.01,121.67,269,26,321,107.0,3,3,2,Loyal Customers,0,Occasional,0,0.5831,1,Medium Risk
12422,Switzerland,141,10,3194.29,319.43,2325,111,538,53.8,3,5,5,Loyal Customers,1,VIP,0,0.2067,0,Low Risk
12423,Belgium,8,8,1953.77,244.22,1424,112,282,35.2,5,5,4,Champions,3,High-Value,0,0.0426,0,Low Risk
12424,Australia,239,2,1579.07,789.54,1285,59,364,182.0,2,2,4,Hibernating / Lost,3,High-Value,0,0.4319,0,Medium Risk
12425,Portugal,264,1,964.21,964.21,651,55,264,264.0,2,1,3,Hibernating / Lost,0,Occasional,0,0.7023,1,High Risk
12426,Germany,11,2,1201.21,600.6,576,72,479,239.5,5,2,4,New Customers,3,High-Value,1,0.6047,1,Medium Risk
12427,Germany,188,1,499.0,499.0,152,9,188,188.0,3,1,2,Potential Loyalist,0,Occasional,0,0.6978,1,High Risk
12428,Finland,59,5,5119.34,1023.87,2755,226,100,20.0,4,4,5,Champions,3,High-Value,0,0.1454,0,Low Risk
12429,Denmark,44,6,5110.99,851.83,2421,85,362,60.3,4,4,5,Champions,3,High-Value,0,0.093,0,Low Risk
12431,Australia,17,17,7229.05,425.24,3065,197,510,30.0,5,5,5,Champions,1,VIP,0,0.0162,0,Low Risk
12433,Norway,182,5,10992.51,2198.5,9627,163,293,58.6,3,4,5,Loyal Customers,3,High-Value,0,0.2965,0,Low Risk
12434,Australia,76,2,583.54,291.77,215,34,197,98.5,4,2,3,New Customers,0,Occasional,0,0.461,0,Medium Risk
12435,Denmark,84,5,10075.03,2015.01,3782,81,553,110.6,4,4,5,Champions,1,VIP,0,0.3801,0,Medium Risk
12437,France,15,28,8594.08,306.93,6300,227,553,19.8,5,5,5,Champions,1,VIP,0,0.0154,0,Low Risk
12439,Cyprus,499,2,1158.18,579.09,484,69,542,271.0,1,2,4,Hibernating / Lost,2,Mid-Value,1,0.8163,1,High Risk
12440,Austria,278,2,739.2,369.6,328,20,534,267.0,2,2,3,Hibernating / Lost,0,Occasional,1,0.6055,1,Medium Risk
12441,France,183,1,311.1,311.1,240,10,183,183.0,3,1,2,Potential Loyalist,0,Occasional,1,0.6373,1,Medium Risk
12443,Norway,548,1,365.31,365.31,179,20,548,548.0,1,1,2,Hibernating / Lost,2,Mid-Value,1,0.9502,1,High Risk
12445,Spain,237,1,301.58000000000004,301.58,144,20,237,237.0,2,1,2,Hibernating / Lost,0,Occasional,0,0.828,1,High Risk
12447,Belgium,59,1,431.49,431.49,187,25,59,59.0,4,1,2,New Customers,0,Occasional,1,0.4834,0,Medium Risk
12449,Belgium,3,2,1447.53,723.76,1108,56,255,127.5,5,2,4,New Customers,3,High-Value,0,0.3559,0,Medium Risk
12450,Spain,215,3,490.32,163.44,314,25,290,96.7,2,3,2,At Risk,0,Occasional,0,0.6031,1,Medium Risk
12451,Switzerland,34,5,8942.18,1788.44,6889,259,345,69.0,4,4,5,Champions,1,VIP,0,0.1004,0,Low Risk
12454,Spain,212,3,12931.44,4310.48,6696,8,237,79.0,2,3,5,At Risk,3,High-Value,0,0.5214,1,Medium Risk
12455,Cyprus,6,6,5303.39,883.9,2839,167,538,89.7,5,4,5,Champions,1,VIP,0,0.1361,0,Low Risk
12456,Switzerland,71,1,780.17,780.17,441,40,71,71.0,4,1,3,New Customers,0,Occasional,0,0.4948,0,Medium Risk
12457,Switzerland,50,4,1419.93,354.98,641,36,251,62.8,4,3,4,Loyal Customers,3,High-Value,0,0.2334,0,Low Risk
12458,Switzerland,101,3,1077.01,359.0,745,57,304,101.3,3,3,3,Loyal Customers,3,High-Value,0,0.489,0,Medium Risk
12459,Spain,421,1,398.36,398.36,256,22,421,421.0,1,1,2,Hibernating / Lost,2,Mid-Value,1,0.7206,1,High Risk
12460,Belgium,272,1,296.65,296.65,168,17,272,272.0,2,1,2,Hibernating / Lost,0,Occasional,1,0.8171,1,High Risk
12462,Spain,119,1,594.11,594.11,281,39,119,119.0,3,1,3,Potential Loyalist,0,Occasional,0,0.7339,1,High Risk
12463,Belgium,23,2,575.9499999999999,287.97,353,31,58,29.0,5,2,3,New Customers,0,Occasional,0,0.3943,0,Medium Risk
12464,Belgium,17,4,439.84999999999997,109.96,47,5,125,31.2,5,3,2,Loyal Customers,3,High-Value,0,0.4575,0,Medium Risk
12467,USA,239,1,132.8,132.8,129,9,239,239.0,2,1,1,Hibernating / Lost,0,Occasional,1,0.8607,1,High Risk
12468,Germany,4,5,3238.74,647.75,2177,126,499,99.8,5,4,5,Champions,3,High-Value,1,0.1791,0,Low Risk
12469,Thailand,339,2,3070.54,1535.27,2552,76,353,176.5,1,2,5,Hibernating / Lost,3,High-Value,1,0.644,1,Medium Risk
12470,Unspecified,506,1,211.95,211.95,95,23,506,506.0,1,1,1,Hibernating / Lost,2,Mid-Value,1,0.9732,1,High Risk
12471,Germany,27,56,25020.77,446.8,11520,186,549,9.8,5,5,5,Champions,1,VIP,0,0.0329,0,Low Risk
12472,Germany,84,15,13277.32,885.15,8967,324,542,36.1,4,5,5,Champions,1,VIP,0,0.1295,0,Low Risk
12473,Germany,8,1,600.1899999999999,600.19,553,33,8,8.0,5,1,3,New Customers,0,Occasional,0,0.2225,0,Low Risk
12474,Germany,17,19,7083.79,372.83,4731,261,483,25.4,5,5,5,Champions,1,VIP,0,0.0026,0,Low Risk
12475,Germany,226,1,396.26,396.26,234,24,226,226.0,2,1,2,Hibernating / Lost,0,Occasional,0,0.7769,1,High Risk
12476,Germany,34,12,8520.09,710.01,3997,272,318,26.5,4,5,5,Champions,1,VIP,0,0.0339,0,Low Risk
12477,Germany,55,5,11633.6,2326.72,3833,249,439,87.8,4,4,5,Champions,1,VIP,0,0.2361,0,Low Risk
12480,Germany,83,5,3338.49,667.7,1983,119,323,64.6,4,4,5,Champions,3,High-Value,0,0.1926,0,Low Risk
12481,Germany,21,11,8947.619999999999,813.42,5858,206,423,38.5,5,5,5,Champions,1,VIP,0,0.0405,0,Low Risk
12482,Sweden,392,27,21941.72,812.66,27040,41,470,17.4,1,5,5,At Risk,1,VIP,1,0.6489,1,Medium Risk
12483,Sweden,0,16,3180.21,198.76,1669,54,493,30.8,5,5,5,Champions,1,VIP,0,0.0379,0,Low Risk
12484,Spain,152,6,2646.1,441.02,1698,182,497,82.8,3,4,5,Loyal Customers,3,High-Value,0,0.1434,0,Low Risk
12485,Sweden,345,1,708.1,708.1,414,34,345,345.0,1,1,3,Hibernating / Lost,2,Mid-Value,1,0.5974,1,Medium Risk
12486,Sweden,248,1,917.28,917.28,520,48,248,248.0,2,1,3,Hibernating / Lost,0,Occasional,1,0.7935,1,High Risk
12487,Sweden,547,1,285.29999999999995,285.3,174,2,547,547.0,1,1,2,Hibernating / Lost,2,Mid-Value,1,0.9047,1,High Risk
12489,France,152,1,298.93,298.93,103,14,152,152.0,3,1,2,Potential Loyalist,0,Occasional,1,0.7015,1,High Risk
12490,France,31,12,4974.43,414.54,3521,135,554,46.2,4,5,5,Champions,1,VIP,0,0.0623,0,Low Risk
12492,Germany,219,1,380.0,380.0,248,21,219,219.0,2,1,2,Hibernating / Lost,0,Occasional,0,0.72,1,High Risk
12493,France,13,1,196.5,196.5,86,11,13,13.0,5,1,1,New Customers,0,Occasional,0,0.4082,0,Medium Risk
12494,France,12,6,1144.41,190.74,555,53,392,65.3,5,4,4,Champions,3,High-Value,0,0.3656,0,Medium Risk
12495,Sweden,457,1,277.4,277.4,128,16,457,457.0,1,1,2,Hibernating / Lost,2,Mid-Value,1,0.8786,1,High Risk
12496,Spain,436,2,54.09,27.04,33,10,436,218.0,1,2,1,Hibernating / Lost,2,Mid-Value,1,0.8675,1,High Risk
12497,Germany,217,2,5043.400000000001,2521.7,4440,29,461,230.5,2,2,5,Hibernating / Lost,3,High-Value,0,0.6513,1,Medium Risk
12499,Germany,376,1,357.72,357.72,300,26,376,376.0,1,1,2,Hibernating / Lost,2,Mid-Value,1,0.7548,1,High Risk
12500,Germany,83,11,2637.59,239.78,1592,65,489,44.5,4,5,5,Champions,1,VIP,0,0.0743,0,Low Risk
12501,Germany,153,1,2025.39,2025.39,1775,148,153,153.0,3,1,4,Potential Loyalist,0,Occasional,1,0.4468,0,Medium Risk
12502,Spain,34,3,1478.65,492.88,421,60,126,42.0,4,3,4,Loyal Customers,3,High-Value,0,0.3705,0,Medium Risk
12503,Spain,400,1,896.0,896.0,560,1,400,400.0,1,1,3,Hibernating / Lost,2,Mid-Value,1,0.7411,1,High Risk
12504,Germany,233,2,261.0,130.5,366,7,413,206.5,2,2,1,Hibernating / Lost,0,Occasional,0,0.5865,1,Medium Risk
12505,Italy,225,1,787.2,787.2,318,41,225,225.0,2,1,3,Hibernating / Lost,0,Occasional,1,0.6545,1,Medium Risk
12506,France,49,1,73.5,73.5,23,23,49,49.0,4,1,1,New Customers,0,Occasional,1,0.8032,1,High Risk
12507,Spain,115,2,817.41,408.7,575,39,401,200.5,3,2,3,Potential Loyalist,0,Occasional,0,0.7364,1,High Risk
12509,France,100,1,158.5,158.5,54,6,100,100.0,3,1,1,Potential Loyalist,0,Occasional,1,0.857,1,High Risk
12510,Spain,141,6,2821.51,470.25,1965,92,551,91.8,3,4,5,Loyal Customers,3,High-Value,0,0.1344,0,Low Risk
12511,Greece,245,1,3084.02,3084.02,1753,190,245,245.0,2,1,5,Hibernating / Lost,3,High-Value,1,0.5047,1,Medium Risk
12514,Italy,83,2,1597.76,798.88,840,76,458,229.0,4,2,4,New Customers,3,High-Value,1,0.5649,1,Medium Risk
12515,Italy,169,1,278.7,278.7,128,15,169,169.0,3,1,2,Potential Loyalist,0,Occasional,1,0.7518,1,High Risk
12516,Germany,247,2,1102.56,551.28,1064,37,415,207.5,2,2,4,Hibernating / Lost,0,Occasional,0,0.5001,1,Medium Risk
12517,Germany,6,1,766.95,766.95,420,125,6,6.0,5,1,3,New Customers,0,Occasional,0,0.1174,0,Low Risk
12519,Germany,293,1,349.7,349.7,210,21,293,293.0,1,1,2,Hibernating / Lost,2,Mid-Value,0,0.8928,1,High Risk
12520,Germany,21,3,1517.56,505.85,935,93,90,30.0,5,3,4,Loyal Customers,3,High-Value,0,0.0928,0,Low Risk
12523,France,69,16,2812.57,175.79,1666,126,548,34.2,4,5,5,Champions,1,VIP,0,0.1358,0,Low Risk
12524,Germany,21,14,8321.77,594.41,5538,129,485,34.6,5,5,5,Champions,1,VIP,0,0.0336,0,Low Risk
12525,France,314,3,883.73,294.58,504,55,463,154.3,1,3,3,At Risk,2,Mid-Value,1,0.6214,1,Medium Risk
12527,Germany,111,4,653.72,163.43,512,23,345,86.2,3,3,3,Loyal Customers,3,High-Value,0,0.431,0,Medium Risk
12528,Germany,93,2,681.66,340.83,353,37,129,64.5,3,2,3,Potential Loyalist,0,Occasional,0,0.5376,1,Medium Risk
12529,France,344,1,316.48,316.48,192,21,344,344.0,1,1,2,Hibernating / Lost,2,Mid-Value,1,0.7919,1,High Risk
12530,Germany,50,7,2595.98,370.85,2110,75,458,65.4,4,4,5,Champions,3,High-Value,0,0.0886,0,Low Risk
12531,Germany,502,1,1645.98,1645.98,1065,109,502,502.0,1,1,4,Hibernating / Lost,2,Mid-Value,0,0.759,1,High Risk
12533,Germany,444,2,1223.89,611.95,696,62,555,277.5,1,2,4,Hibernating / Lost,2,Mid-Value,1,0.8173,1,High Risk
12535,France,3,1,371.45,371.45,115,18,3,3.0,5,1,2,New Customers,0,Occasional,0,0.5018,1,Medium Risk
12537,Sweden,225,1,612.94,612.94,446,42,225,225.0,2,1,3,Hibernating / Lost,0,Occasional,1,0.406,0,Medium Risk
12538,Spain,194,1,276.5,276.5,145,13,194,194.0,3,1,2,Potential Loyalist,0,Occasional,0,0.62,1,Medium Risk
12539,Spain,78,6,10136.09,1689.35,4088,246,532,88.7,4,4,5,Champions,1,VIP,0,0.1752,0,Low Risk
12540,Spain,2,22,13136.77,597.13,7262,245,548,24.9,5,5,5,Champions,1,VIP,0,0.0307,0,Low Risk
12541,Spain,97,1,284.40000000000003,284.4,287,16,97,97.0,3,1,2,Potential Loyalist,0,Occasional,0,0.4961,0,Medium Risk
12542,Spain,300,2,481.88,240.94,522,39,456,228.0,1,2,2,Hibernating / Lost,2,Mid-Value,1,0.6739,1,High Risk
12543,Spain,264,1,840.25,840.25,683,42,264,264.0,2,1,3,Hibernating / Lost,0,Occasional,1,0.6029,1,Medium Risk
12545,Spain,76,1,544.15,544.15,343,33,76,76.0,4,1,2,New Customers,0,Occasional,0,0.6597,1,Medium Risk
12547,Spain,14,3,299.58,99.86,306,12,316,105.3,5,3,2,Loyal Customers,0,Occasional,1,0.5041,1,Medium Risk
12549,USA,392,5,1570.68,314.14,1365,37,514,102.8,1,4,4,At Risk,2,Mid-Value,1,0.5776,1,Medium Risk
12551,Spain,174,1,168.0,168.0,100,10,174,174.0,3,1,1,Potential Loyalist,0,Occasional,1,0.8165,1,High Risk
12553,France,21,7,2327.09,332.44,1320,90,239,34.1,5,4,4,Champions,3,High-Value,0,0.0448,0,Low Risk
12554,Spain,265,1,384.5,384.5,237,25,265,265.0,2,1,2,Hibernating / Lost,0,Occasional,1,0.5972,1,Medium Risk
12557,Spain,72,6,11579.800000000001,1929.97,4356,15,539,89.8,4,4,5,Champions,1,VIP,0,0.2537,0,Low Risk
12559,Germany,127,2,525.71,262.86,281,20,136,68.0,3,2,2,Potential Loyalist,0,Occasional,1,0.5394,1,Medium Risk
12561,Germany,119,1,238.85,238.85,177,16,119,119.0,3,1,1,Potential Loyalist,0,Occasional,1,0.6975,1,High Risk
12562,France,15,3,1432.14,477.38,720,42,251,83.7,5,3,4,Loyal Customers,3,High-Value,0,0.2598,0,Low Risk
12563,Italy,225,1,221.24,221.24,112,12,225,225.0,2,1,1,Hibernating / Lost,0,Occasional,1,0.5839,1,Medium Risk
12564,France,77,1,402.9,402.9,130,20,77,77.0,4,1,2,New Customers,0,Occasional,1,0.7099,1,High Risk
12565,Saudi Arabia,105,1,145.92,145.92,80,9,105,105.0,3,1,1,Potential Loyalist,0,Occasional,1,0.7301,1,High Risk
12567,France,1,11,7901.58,718.33,3794,227,483,43.9,5,5,5,Champions,1,VIP,0,0.0576,0,Low Risk
12568,Germany,461,1,52.0,52.0,47,4,461,461.0,1,1,1,Hibernating / Lost,2,Mid-Value,1,0.9833,1,High Risk
12569,Germany,0,6,964.46,160.74,552,29,68,11.3,5,4,3,Champions,3,High-Value,0,0.3385,0,Medium Risk
12573,France,43,5,717.41,143.48,479,107,281,56.2,4,4,3,Champions,3,High-Value,1,0.3283,0,Low Risk
12574,France,132,1,182.45000000000002,182.45,59,10,132,132.0,3,1,1,Potential Loyalist,0,Occasional,1,0.8166,1,High Risk
12575,France,273,2,568.8199999999999,284.41,312,33,343,171.5,2,2,3,Hibernating / Lost,0,Occasional,1,0.7021,1,High Risk
12576,Poland,34,5,1168.54,233.71,840,73,342,68.4,4,4,4,Champions,3,High-Value,0,0.1738,0,Low Risk
12577,France,175,6,1191.84,198.64,859,195,552,92.0,3,4,4,Loyal Customers,3,High-Value,0,0.3201,0,Low Risk
12578,Italy,146,3,3036.6,1012.2,1917,108,260,86.7,3,3,5,Loyal Customers,3,High-Value,0,0.2912,0,Low Risk
12580,Germany,63,2,962.9,481.45,564,51,393,196.5,4,2,3,New Customers,3,High-Value,1,0.6222,1,Medium Risk
12582,Finland,55,4,1820.4,455.1,981,87,394,98.5,4,3,4,Loyal Customers,3,High-Value,1,0.2402,0,Low Risk
12583,France,17,17,9416.449999999999,553.91,5905,101,550,32.4,5,5,5,Champions,1,VIP,0,0.0541,0,Low Risk
12584,Italy,1,2,538.74,269.37,112,22,96,48.0,5,2,2,New Customers,0,Occasional,0,0.3874,0,Medium Risk
12585,Germany,50,2,1824.1,912.05,1267,76,167,83.5,4,2,4,New Customers,3,High-Value,1,0.3329,0,Medium Risk
12586,Italy,191,3,1865.73,621.91,608,76,539,179.7,3,3,4,Loyal Customers,3,High-Value,0,0.6674,1,High Risk
12588,Finland,216,2,543.88,271.94,380,26,414,207.0,2,2,2,Hibernating / Lost,0,Occasional,0,0.5402,1,Medium Risk
12589,France,238,4,2720.23,680.06,1439,98,506,126.5,2,3,5,At Risk,3,High-Value,0,0.5506,1,Medium Risk
12590,Germany,27,1,9341.26,9341.26,4282,67,27,27.0,5,1,5,New Customers,3,High-Value,1,0.3139,0,Low Risk
12591,Italy,133,3,1128.15,376.05,669,62,225,75.0,3,3,4,Loyal Customers,3,High-Value,1,0.3952,0,Medium Risk
12592,Germany,29,3,1535.84,511.95,1742,38,335,111.7,4,3,4,Loyal Customers,3,High-Value,0,0.2514,0,Low Risk
12593,France,35,1,200.0,200.0,98,10,35,35.0,4,1,1,New Customers,0,Occasional,0,0.3444,0,Medium Risk
12594,Italy,0,11,3359.84,305.44,1903,72,462,42.0,5,5,5,Champions,1,VIP,0,0.0562,0,Low Risk
12595,Germany,321,1,281.02,281.02,270,18,321,321.0,1,1,2,Hibernating / Lost,2,Mid-Value,1,0.8918,1,High Risk
12596,Spain,58,1,213.95,213.95,154,14,58,58.0,4,1,1,New Customers,0,Occasional,0,0.6324,1,Medium Risk
12597,Spain,84,1,432.15000000000003,432.15,227,29,84,84.0,4,1,2,New Customers,0,Occasional,0,0.7083,1,High Risk
12598,France,37,5,2526.75,505.35,1613,96,465,93.0,4,4,5,Champions,3,High-Value,0,0.1618,0,Low Risk
12599,France,24,9,1530.0,170.0,1650,38,394,43.8,5,5,4,Champions,3,High-Value,0,0.1715,0,Low Risk
12600,Germany,20,16,3305.27,206.58,949,38,548,34.2,5,5,5,Champions,1,VIP,0,0.0882,0,Low Risk
12601,Germany,6,6,573.26,95.54,284,23,221,36.8,5,4,3,Champions,3,High-Value,1,0.4257,0,Medium Risk
12604,France,78,1,160.5,160.5,136,9,78,78.0,4,1,1,New Customers,0,Occasional,0,0.8295,1,High Risk
12605,Germany,192,3,1124.95,374.98,921,62,274,91.3,3,3,4,Loyal Customers,3,High-Value,1,0.546,1,Medium Risk
12608,United Kingdom,221,1,415.79,415.79,323,16,221,221.0,2,1,2,Hibernating / Lost,0,Occasional,1,0.4853,0,Medium Risk
12609,Germany,2,8,2731.7400000000002,341.47,1402,116,535,66.9,5,5,5,Champions,1,VIP,0,0.1031,0,Low Risk
12613,Germany,14,8,4539.21,567.4,3255,172,541,67.6,5,5,5,Champions,1,VIP,0,0.0928,0,Low Risk
12614,Germany,94,1,315.6,315.6,76,20,94,94.0,3,1,2,Potential Loyalist,0,Occasional,1,0.6346,1,Medium Risk
12615,France,230,4,3269.79,817.45,1931,146,447,111.8,2,3,5,At Risk,3,High-Value,0,0.5131,1,Medium Risk
12616,France,113,2,601.4,300.7,308,25,205,102.5,3,2,3,Potential Loyalist,0,Occasional,0,0.4117,0,Medium Risk
12619,Germany,50,3,735.8,245.27,650,20,376,125.3,4,3,3,Loyal Customers,3,High-Value,0,0.4667,0,Medium Risk
